,rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_impact,koi_impact_err1,koi_impact_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_depth,koi_depth_err1,koi_depth_err2
0,1,10797460,K00752.01,Kepler-227 b,CONFIRMED,0.146,0.318,-0.146,2.26,0.26,-0.15,5455.0,81.0,-81.0,616.0,19.5,-19.5
1,2,10797460,K00752.02,Kepler-227 c,CONFIRMED,0.586,0.059000000000000004,-0.44299999999999995,2.83,0.32,-0.19,5455.0,81.0,-81.0,875.0,35.5,-35.5
4,5,10854555,K00755.01,Kepler-664 b,CONFIRMED,0.701,0.235,-0.478,2.75,0.88,-0.35,6031.0,169.0,-211.0,603.0,16.9,-16.9
5,6,10872983,K00756.01,Kepler-228 d,CONFIRMED,0.5379999999999999,0.03,-0.428,3.9,1.27,-0.42,6046.0,189.0,-232.0,1520.0,24.2,-24.2
6,7,10872983,K00756.02,Kepler-228 c,CONFIRMED,0.762,0.139,-0.532,2.77,0.9,-0.3,6046.0,189.0,-232.0,686.0,18.7,-18.7
7,8,10872983,K00756.03,Kepler-228 b,CONFIRMED,0.755,0.212,-0.523,1.59,0.52,-0.17,6046.0,189.0,-232.0,227.0,16.8,-16.8
9,10,10910878,K00757.01,Kepler-229 c,CONFIRMED,0.052000000000000005,0.262,-0.052000000000000005,5.76,0.22,-0.49,5031.0,75.0,-83.0,4910.0,33.3,-33.3
10,11,11446443,K00001.01,Kepler-1 b,CONFIRMED,0.818,0.001,-0.001,13.04,0.51,-0.51,5820.0,78.0,-78.0,14200.0,4.2,-4.2
11,12,10666592,K00002.01,Kepler-2 b,CONFIRMED,0.22399999999999998,0.159,-0.21600000000000003,16.1,0.81,-0.91,6440.0,76.0,-89.0,6670.0,1.7,-1.7
12,13,6922244,K00010.01,Kepler-8 b,CONFIRMED,0.631,0.006999999999999999,-0.006999999999999999,14.59,1.11,-1.11,6225.0,112.0,-137.0,9150.0,6.6,-6.6
13,14,10984090,K00112.02,Kepler-466 c,CONFIRMED,0.051,0.395,-0.051,1.16,0.17,-0.12,5833.0,105.0,-117.0,131.0,3.0,-3.0
